#Episode  Epsilon     Score   ScoreAvg
     310  0.380000     6.000    5.8000  
     311  0.378000     7.000    5.9000  
     312  0.376000     8.000    6.0000  
     313  0.374000     9.000    6.3000  
     314  0.372000     6.000    6.3000  
     315  0.370000     4.000    6.2000  
     316  0.368000     3.000    5.8000  
     317  0.366000     5.000    5.9000  
     318  0.364000     5.000    5.6000  
     319  0.362000     4.000    5.7000  
     320  0.360000     3.000    5.4000  
     321  0.358000     8.000    5.5000  
     322  0.356000     3.000    5.0000  
     323  0.354000     6.000    4.7000  
     324  0.352000     6.000    4.7000  
     325  0.350000     7.000    5.0000  
     326  0.348000     3.000    5.0000  
     327  0.346000     3.000    4.8000  
     328  0.344000     8.000    5.1000  
     329  0.342000     9.000    5.6000  
     330  0.340000     7.000    6.0000  
     331  0.338000     8.000    6.0000  
     332  0.336000     9.000    6.6000  
     333  0.334000    11.000    7.1000  
     334  0.332000     6.000    7.1000  
     335  0.330000     6.000    7.0000  
     336  0.328000     4.000    7.1000  
     337  0.326000     6.000    7.4000  
     338  0.324000    11.000    7.7000  
     339  0.322000     7.000    7.5000  
     340  0.320000     7.000    7.5000  
     341  0.318000     8.000    7.5000  
     342  0.316000     4.000    7.0000  
     343  0.314000    11.000    7.0000  
     344  0.312000     6.000    7.0000  
     345  0.310000     6.000    7.0000  
     346  0.308000     5.000    7.1000  
     347  0.306000     7.000    7.2000  
     348  0.304000     6.000    6.7000  
     349  0.302000    11.000    7.1000  
     350  0.300000     4.000    6.8000  
     351  0.298000    12.000    7.2000  
     352  0.296000     9.000    7.7000  
     353  0.294000     5.000    7.1000  
     354  0.292000     4.000    6.9000  
     355  0.290000     5.000    6.8000  
     356  0.288000     5.000    6.8000  
     357  0.286000     4.000    6.5000  
     358  0.284000     6.000    6.5000  
     359  0.282000     6.000    6.0000  
     360  0.280000     3.000    5.9000  
     361  0.278000    11.000    5.8000  
     362  0.276000     8.000    5.7000  
     363  0.274000     9.000    6.1000  
     364  0.272000    12.000    6.9000  
     365  0.270000     7.000    7.1000  
     366  0.268000     8.000    7.4000  
     367  0.266000     7.000    7.7000  
     368  0.264000     7.000    7.8000  
     369  0.262000     7.000    7.9000  
     370  0.260000     4.000    8.0000  
     371  0.258000     7.000    7.6000  
     372  0.256000     2.000    7.0000  
     373  0.254000     4.000    6.5000  
     374  0.252000     7.000    6.0000  
     375  0.250000     6.000    5.9000  
     376  0.248000     2.000    5.3000  
     377  0.246000     5.000    5.1000  
     378  0.244000     5.000    4.9000  
     379  0.242000     6.000    4.8000  
     380  0.240000     5.000    4.9000  
     381  0.238000     6.000    4.8000  
     382  0.236000     5.000    5.1000  
     383  0.234000     7.000    5.4000  
     384  0.232000     7.000    5.4000  
     385  0.230000     5.000    5.3000  
     386  0.228000     6.000    5.7000  
     387  0.226000     5.000    5.7000  
     388  0.224000     7.000    5.9000  
     389  0.222000     8.000    6.1000  
     390  0.220000     6.000    6.2000  
     391  0.218000     7.000    6.3000  
     392  0.216000     6.000    6.4000  
     393  0.214000     4.000    6.1000  
     394  0.212000     4.000    5.8000  
     395  0.210000     1.000    5.4000  
     396  0.208000     2.000    5.0000  
     397  0.206000     8.000    5.3000  
     398  0.204000     6.000    5.2000  
     399  0.202000     3.000    4.7000  
     400  0.200000     8.000    4.9000  
     401  0.198000     7.000    4.9000  
     402  0.196000     8.000    5.1000  
     403  0.194000     8.000    5.5000  
     404  0.192000     7.000    5.8000  
     405  0.190000     8.000    6.5000  
     406  0.188000     9.000    7.2000  
     407  0.186000     8.000    7.2000  
     408  0.184000     9.000    7.5000  
     409  0.182000     8.000    8.0000  
     410  0.180000     9.000    8.1000  
     411  0.178000     6.000    8.0000  
     412  0.176000     7.000    7.9000  
     413  0.174000     5.000    7.6000  
     414  0.172000     7.000    7.6000  
     415  0.170000     6.000    7.4000  
     416  0.168000     5.000    7.0000  
     417  0.166000     8.000    7.0000  
     418  0.164000     8.000    6.9000  
     419  0.162000     8.000    6.9000  
     420  0.160000     5.000    6.5000  
     421  0.158000     4.000    6.3000  
     422  0.156000     6.000    6.2000  
     423  0.154000     6.000    6.3000  
     424  0.152000     5.000    6.1000  
     425  0.150000     3.000    5.8000  
     426  0.148000     8.000    6.1000  
     427  0.146000     6.000    5.9000  
     428  0.144000     8.000    5.9000  
     429  0.142000     5.000    5.6000  
     430  0.140000     3.000    5.4000  
     431  0.138000    11.000    6.1000  
     432  0.136000     5.000    6.0000  
     433  0.134000     8.000    6.2000  
     434  0.132000     3.000    6.0000  
     435  0.130000     5.000    6.2000  
     436  0.128000     5.000    5.9000  
     437  0.126000     5.000    5.8000  
     438  0.124000     5.000    5.5000  
     439  0.122000     6.000    5.6000  
     440  0.120000     8.000    6.1000  
     441  0.118000     9.000    5.9000  
     442  0.116000     3.000    5.7000  
     443  0.114000     5.000    5.4000  
     444  0.112000     8.000    5.9000  
     445  0.110000     8.000    6.2000  
     446  0.108000     5.000    6.2000  
     447  0.106000     4.000    6.1000  
     448  0.104000     5.000    6.1000  
     449  0.102000     6.000    6.1000  
     450  0.100000     8.000    6.1000  
     451  0.098000     9.000    6.1000  
     452  0.096000     5.000    6.3000  
     453  0.094000     7.000    6.5000  
     454  0.092000     3.000    6.0000  
     455  0.090000     8.000    6.0000  
     456  0.088000     6.000    6.1000  
     457  0.086000     7.000    6.4000  
     458  0.084000     8.000    6.7000  
     459  0.082000     6.000    6.7000  
     460  0.080000     8.000    6.7000  
     461  0.078000     6.000    6.4000  
     462  0.076000     8.000    6.7000  
     463  0.074000     7.000    6.7000  
     464  0.072000     7.000    7.1000  
     465  0.070000     5.000    6.8000  
     466  0.068000     8.000    7.0000  
     467  0.066000     8.000    7.1000  
     468  0.064000     6.000    6.9000  
     469  0.062000    11.000    7.4000  
     470  0.060000     9.000    7.5000  
     471  0.058000     7.000    7.6000  
     472  0.056000     3.000    7.1000  
     473  0.054000     9.000    7.3000  
     474  0.052000     8.000    7.4000  
     475  0.050000     7.000    7.6000  
     476  0.048000     9.000    7.7000  
     477  0.046000     8.000    7.7000  
     478  0.044000     6.000    7.7000  
     479  0.042000     8.000    7.4000  
     480  0.040000     7.000    7.2000  
     481  0.038000     8.000    7.3000  
     482  0.036000     4.000    7.4000  
     483  0.034000     5.000    7.0000  
     484  0.032000     9.000    7.1000  
     485  0.030000     8.000    7.2000  
     486  0.028000     9.000    7.2000  
     487  0.026000     8.000    7.2000  
     488  0.024000    10.000    7.6000  
     489  0.022000     9.000    7.7000  
     490  0.020000     7.000    7.7000  
     491  0.018000     4.000    7.3000  
     492  0.016000     6.000    7.5000  
     493  0.014000    11.000    8.1000  
     494  0.012000     5.000    7.7000  
     495  0.010000     8.000    7.7000  
     496  0.008000     8.000    7.6000  
     497  0.006000     4.000    7.2000  
     498  0.004000     7.000    6.9000  
     499  0.002000    10.000    7.0000  
